Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-03-30,11.79,12.3,11.44,11.85,36960,USD,0.8600000000000012,-0.0600000000000005,11.218571428571428,11.160714285714286,11.732380952380952,0.563543212523189,1.1637908092174674
2016-03-31,11.92,12.02,11.29,11.41,32669,USD,0.7300000000000004,0.5099999999999998,11.248571428571427,11.208571428571428,11.716190476190476,0.56796210470502,1.1658965485431207
2016-04-01,11.41,11.94,11.39,11.62,22197,USD,0.5499999999999989,-0.20999999999999908,11.384285714285713,11.27142857142857,11.700476190476191,0.5179722367996584,1.1648110412872816
2016-04-02,11.65,11.77,11.43,11.61,12173,USD,0.33999999999999986,0.040000000000000924,11.471428571428572,11.364285714285716,11.638095238095238,0.49326897907154965,1.130816603378368
2016-04-03,11.61,11.76,11.4,11.75,18851,USD,0.35999999999999943,-0.14000000000000057,11.664285714285713,11.476428571428572,11.479999999999999,0.1467261784024059,0.8150030674788881
2016-04-04,11.6,11.67,10.88,11.15,38742,USD,0.7899999999999991,0.4499999999999993,11.597142857142858,11.419285714285712,11.415714285714285,0.24499757044471426,0.7831447594702468
2016-04-05,11.15,11.15,9.7,10.4,53389,USD,1.450000000000001,0.75,11.398571428571428,11.35,11.289047619047619,0.4966698625656242,0.7161487608165237
2016-04-06,10.4,10.96,10.2,10.76,40040,USD,0.7600000000000016,-0.35999999999999943,11.242857142857144,11.230714285714285,11.188095238095238,0.5023847889720391,0.6241844202446772
2016-04-07,10.76,10.85,9.4,10.12,50740,USD,1.4499999999999993,0.6400000000000006,11.058571428571428,11.153571428571427,11.158571428571427,0.6467206653939735,0.6600703425717975
2016-04-08,10.05,10.34,9.6,9.71,25974,USD,0.7400000000000002,0.33999999999999986,10.785714285714286,11.084999999999999,11.10952380952381,0.762864276763508,0.7275470856960078
2016-04-09,9.69,10.2,9.0,9.15,64964,USD,1.1999999999999993,0.5399999999999991,10.434285714285716,10.952857142857143,11.054285714285715,0.8778165553017955,0.828339129997917
2016-04-10,9.15,9.43,7.52,8.76,171987,USD,1.9100000000000001,0.39000000000000057,10.007142857142856,10.835714285714285,10.986666666666666,0.8581319689829073,0.9520049019481593
2016-04-11,8.56,8.93,8.01,8.68,60277,USD,0.9199999999999999,-0.11999999999999922,9.654285714285715,10.625714285714285,10.83095238095238,0.8166977642281403,1.0490419665671329
2016-04-12,8.53,8.54,7.21,7.53,63823,USD,1.3299999999999992,0.9999999999999991,9.244285714285713,10.321428571428571,10.64809523809524,1.063153440522695,1.2631968138323415
2016-04-13,7.48,8.8,6.86,8.09,142212,USD,1.9400000000000004,-0.6099999999999994,8.862857142857143,10.052857142857144,10.441428571428572,0.8942727825019697,1.3112028283766188
2016-04-14,8.08,8.86,8.0,8.46,36148,USD,0.8599999999999994,-0.3800000000000008,8.625714285714286,9.842142857142859,10.31095238095238,0.7055224339182355,1.3670804832265857
