Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2010-08-07,0.1,0.1,0.1,0.1,2619,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-08,0.1,0.1,0.1,0.1,2201,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-09,0.1,0.1,0.1,0.1,13631,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-10,0.1,0.1,0.1,0.1,1310,USD,0.0,0.0,0.1,0.1,0.10000000000000002,0.0,0.0
2010-08-11,0.1,0.1,0.1,0.1,14061,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-12,0.1,0.1,0.1,0.1,2062,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-13,0.1,0.1,0.1,0.1,3592,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-14,0.1,0.1,0.1,0.1,4404,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-15,0.1,0.1,0.1,0.1,4463,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-16,0.1,0.1,0.1,0.1,10731,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-17,0.1,0.1,0.1,0.1,13186,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-18,0.1,0.1,0.1,0.1,2954,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-19,0.1,0.1,0.1,0.1,741,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-20,0.1,0.1,0.1,0.1,4200,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-21,0.1,0.1,0.1,0.1,10444,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-22,0.1,0.1,0.1,0.1,18649,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-23,0.1,0.1,0.1,0.1,4297,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-24,0.1,0.1,0.1,0.1,6712,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-25,0.1,0.1,0.1,0.1,4229,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-26,0.1,0.1,0.1,0.1,3870,USD,0.0,0.0,0.1,0.1,0.10000000000000002,0.0,0.0
2010-08-27,0.1,0.1,0.1,0.1,9010,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-28,0.1,0.1,0.1,0.1,6174,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-08-29,0.1,0.1,0.1,0.1,3173,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-08-30,0.1,0.1,0.0,0.1,34193,USD,0.1,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-08-31,0.1,0.1,0.1,0.1,14887,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-09-01,0.1,0.1,0.1,0.1,7165,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-09-02,0.1,0.1,0.1,0.1,8151,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
2010-09-03,0.1,0.1,0.1,0.1,892,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-09-04,0.1,0.1,0.1,0.1,3301,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-09-05,0.1,0.1,0.1,0.1,8459,USD,0.0,0.0,0.09999999999999999,0.1,0.1,0.0,0.0
2010-09-06,0.1,0.1,0.1,0.1,910,USD,0.0,0.0,0.1,0.1,0.1,0.0,0.0
2010-09-07,0.1,0.1,0.1,0.1,3457,USD,0.0,0.0,0.1,0.09999999999999999,0.1,0.0,0.0
